route_id,agency_id,route_short_name,route_long_name,route_type
routes:ICE10,0,ICE10,Frankfurt Main (d) - Brussel-Zuid,2
routes:ICE16,0,ICE16,Frankfurt Main (d) - Brussel-Zuid,2
routes:IC106,0,IC106,Liers - Luxembourg (l),2
routes:IC108,0,IC108,Liers - Luxembourg (l),2
routes:IC110,0,IC110,Liers - Luxembourg (l),2
routes:IC112,0,IC112,Liers - Luxembourg (l),2
routes:IC114,0,IC114,Liers - Luxembourg (l),2
routes:IC116,0,IC116,Liers - Luxembourg (l),2
routes:IC118,0,IC118,Liers - Luxembourg (l),2
routes:IC120,0,IC120,Liers - Luxembourg (l),2
routes:IC122,0,IC122,Liers - Gouvy,2
routes:IC123,0,IC123,Luxembourg (l) - Liers,2
routes:IC608,0,IC608,Antwerpen-Centraal - Noorderkempen,2
routes:IC610,0,IC610,Antwerpen-Centraal - Noorderkempen,2
routes:IC614,0,IC614,Antwerpen-Centraal - Noorderkempen,2
routes:IC616,0,IC616,Antwerpen-Centraal - Noorderkempen,2
routes:IC618,0,IC618,Antwerpen-Centraal - Noorderkempen,2
routes:IC620,0,IC620,Antwerpen-Centraal - Noorderkempen,2
routes:IC628,0,IC628,Noorderkempen - Antwerpen-Centraal,2
routes:IC630,0,IC630,Noorderkempen - Antwerpen-Centraal,2
routes:IC634,0,IC634,Noorderkempen - Antwerpen-Centraal,2
routes:IC636,0,IC636,Noorderkempen - Antwerpen-Centraal,2
routes:IC638,0,IC638,Noorderkempen - Antwerpen-Centraal,2
routes:IC640,0,IC640,Noorderkempen - Antwerpen-Centraal,2
routes:IC1903,0,IC1903,Brussel-Zuid - Brussel-Nat-Luchthaven,2
routes:IC1929,0,IC1929,Brussel-Nat-Luchthaven - Doornik,2
routes:IC1932,0,IC1932,Brussel-Nat-Luchthaven - Doornik,2
routes:IC1935,0,IC1935,Brussel-Nat-Luchthaven - Doornik,2
routes:IC1937,0,IC1937,Brussel-Nat-Luchthaven - Doornik,2
routes:IC1940,0,IC1940,Brussel-Nat-Luchthaven - Doornik,2
routes:IC1943,0,IC1943,Brussel-Nat-Luchthaven - Doornik,2
routes:IC1945,0,IC1945,Brussel-Nat-Luchthaven - Brussel-Zuid,2
routes:IC2104,0,IC2104,Aarlen - Luxembourg (l),2
routes:IC2144,0,IC2144,Luxembourg (l) - Jemelle,2
routes:IC2303,0,IC2303,Kortrijk - Brussel-Nat-Luchthaven,2
